E000		｛㇯𦮙艹｝（癸小篆）
EF69		｛⿰金⿱𠀇勿｝
EF6A		｛⿰忄⿱𠀇勿｝
EF6B		｛⿸疒⿱𠀇勿｝
EF6C		｛⿰土⿱𠀇勿｝
EF6D		｛⿰日⿱𠀇勿｝
EF6E		｛⿰扌⿱𠀇勿｝
F522		匕
F523		｛⿱卉本｝	𠦪
F524		｛⿼コ十｝
F525		｛〾火｝
F526		｛⿶凵𰀁｝	𠙹
F527		｛㇯率十｝
F528		𤰔
F529		𦰩
F52A		𠤎
F52B		卌
F52D		｛⿱宀⿻屮⿰一一｝
F52E		｛⿰𬼀卜｝	卝（又𠔁）
F52F		𠃊
F530		｛〾直｝
F531		𢊁
F533		𩠙
F534		｛⿰白⿱㚖本｝
F535		｛⿰半升｝
F536		𨿵
F537		𧴩
F538		｛⿰貝亲｝
F539		𧵅
F53A		𣪘
F53B		｛⿰布兑｝
F53C		𨏻
F53D		𮝭
F53E		｛⿰車貢｝
F53F		𨎍
F540		｛⿰車𭔰｝
F541		𨍕
F542		𨊱
F543		𦣱
F544		𰀭
F545		𪗳
F546		｛⿰彳省｝
F547		𢔥
F548		𢕌
F549		𢓊
F54A		𫹔
F54B		𧎔
F54C		𧎸
F54D		𧋄
F54E		𧒽
F54F		𧊅
F550		𧏡
F551		𧠵
F552		𠭯
F553		｛⿰旦阝｝
F554		｛⿰刀阝｝
F555		𤮘
F556		𠟭
F557		𬹦
F558		𭔰
F559		｛⿰豆桑｝
F55A		𢾖
F55B		𦕑
F55C		𦕼
F55D		｛⿰耳聿｝
F55E		｛⿰爾犬｝
F55F		𬀈
F560		𣃦
F561		｛⿸𭤨止｝
F562		𱡳
F563		｛⿸𭤨𠂤｝
F564		｛⿰婓丮｝
F565		𢾺
F566		𣤆
F567		𦉢
F568		𦉜
F569		𫄻
F56A		｛⿰尃瓦｝
F56B		｛⿰阝差｝
F56C		｛⿰阝敕｝
F56D		｛⿰阝會｝
F56E		𫕔
F56F		𨽦
F570		𱀏
F571		𮥥
F572		𨸜
F573		｛⿰阝心｝
F574		｛⿰阝耶｝
F575		𨼥
F576		𱀵
F577		𨹫
F578		｛⿰阝𬖨｝
F579		𣀇
F57A		｛⿰戈夭｝
F57B		𩊭
F57C		𩉴
F57D		𩍜
F57E		｛⿰革翕｝
F57F		𩎃
F580		𩌮
F581		｛⿰革⿱小日｝
F582		𨾊
F583		𭚪
F584		｛⿰弓工｝
F585		𢏂
F586		𢎳
F587		𢐗
F588		｛⿰弓周｝
F589		｛⿰弓爪｝
F58A		｛⿰谷干｝	𧮮
F58B		𧯆
F58C		｛⿰骨戈｝
F58D		｛⿰国或｝
F58E		｛⿰厈攵｝
F58F		｛⿰禾佘｝
F590		｛⿰禾邑｝
F591		𬓨
F592		｛⿰禾⿱龙日｝
F593		𬎪
F594		｛⿰黑戈｝
F595		𢼄
F596		𢾞
F597		𤆵
F598		𤇶
F599		｛⿰火虑｝
F59A		𤇊
F59B		𭶅
F59C		𤌧
F59D		𤓎
F59E		𤍿
F59F		𤌙
F5A0		｛⿰火⿵冂𠔄｝
F5A1		𣄰
F5A2		｛⿰戛戉｝
F5A3		𮗥
F5A4		｛⿰角區｝
F5A5		｛⿰角有｝
F5A6		｛⿰子柬｝
F5A7		𰌣
F5A8		｛⿰巾産｝
F5A9		𢅡
F5AA		𢁵
F5AB		𢃀
F5AC		𨥥
F5AD		𨥛
F5AE		𨰜
F5AF		𬫭
F5B0		𬬁
F5B1		｛⿰金滷｝
F5B2		｛⿰金虑｝
F5B3		𲇞
F5B4		｛⿰金义｝
F5B5		｛⿰金⿱世再｝
F5B6		｛⿰金⿱⿰無名異｝
F5B7		𨨛
F5B8		𫓞
F5B9		｛⿰巨己｝
F5BA		𭇓
F5BB		𠯫
F5BC		𠲹
F5BD		｛⿰口漣｝
F5BE		𡆝
F5BF		𡂿
F5C0		𠰃
F5C1		｛⿰口思｝
F5C2		𠱾
F5C3		𠱠
F5C4		𠲖
F5C5		𠮙
F5C6		𠸄
F5C7		噳
F5C8		𠹗
F5C9		｛⿰口志｝
F5CA		𠲕
F5CB		𡁴
F5CC		｛⿰兰亡｝
F5CD		｛⿰牢馬｝
F5CE		｛⿰耒吕｝
F5CF		｛⿰耒鳥｝
F5D0		｛⿰耒⿱𠂉易｝
F5D1		｛⿰里㐫｝
F5D2		𱐯
F5D3		｛⿰利馬｝
F5D4		｛⿰歴刂｝	𠠝
F5D5		𮟮
F5D6		𮬭
F5D7		𪉱
F5D8		｛⿰鹵旦｝
F5D9		𡎐
F5DA		𢿇
F5DB		𮬺
F5DC		𪎥
F5DD		𩤣
F5DE		｛⿰馬岡｝
F5DF		𩢍
F5E0		𩥴
F5E1		𩧋
F5E2		𩢡
F5E3		𩡶
F5E4		𮪚
F5E5		𩤟
F5E6		𩣓
F5E7		｛⿰馬𡕩｝
F5E8		𥻗
F5E9		｛⿰米冓｝
F5EA		𬖙
F5EB		𥼚
F5EC		𥽭
F5ED		𥻵
F5EE		｛⿰米易｝
F5EF		｛⿰黽攴｝
F5F0		𣛭
F5F1		𬃼
F5F2		𣙥
F5F3		𣠠
F5F4		𣟭
F5F5		𣙷
F5F6		𣏌
F5F7		𣔙
F5F8		𮗸
F5F9		｛⿰木𧵎｝
F5FA		｛⿰木⿱古月｝
F5FB		｛⿰木𤇏｝
F5FC		𣒰
F5FD		𥋧
F5FE		｛⿰目太｝
F5FF		｛⿰目歪｝
F600		｛⿰内孝｝
F601		𣜩
F602		𪟞
F603		𬆩
F604		𠄼
F605		｛⿰能阝｝
F606		｛⿰尼母｝
F607		𠦜
F608		𭷖
F609		｛⿰女亍｝
F60A		｛⿰女各｝
F60B		𫰤
F60C		𡞞
F60D		𡞾
F60E		𡜳
F60F		𪦡
F610		𡜍
F611		｛⿰女寃｝
F612		｛⿰爿臣｝
F613		𤖣
F614		｛⿰毘鳥｝
F615		𠷓
F616		𫼆
F617		𫤱
F618		｛⿰妾阝｝
F619		｛⿰屈阝｝
F61A		｛⿰泉刀｝
F61B		𤜱
F61C		｛⿰犭罢｝
F61D		｛⿰犭大｝
F61E		𤢏
F61F		𤝔
F620		𤞶
F621		｛⿰犭夔｝
F622		𤡉
F623		｛⿰犭⿱𱼀缶｝	猺
F624		｛⿰犬戈｝
F625		｛⿰夋欠｝
F626		｛⿰亻昂｝
F627		｛⿰亻芉｝
F628		｛⿰亻葛｝
F629		𠎑
F62A		𭀓
F62B		𠍲
F62C		｛⿰亻胃｝
F62D		𠊎
F62E		𠈰
F62F		𠋠
F630		𪝝
F631		｛⿰亻𡷾｝
F632		𠑇
F633		𬽹
F634		𫢗
F635		𱐔
F636		𰖍
F637		𭦣
F638		𪰋
F639		𣊪
F63A		𣊯
F63B		｛⿰日𰭎｝
F63C		｛⿰色白｝	𦫖
F63D		｛⿰山畟｝
F63E		𭗑
F63F		𫶈
F640		𭖂
F641		𡽢
F642		𠟤
F643		𩞽
F644		𬲋
F645		𩛞
F646		𩚟
F647		𩟁
F648		𩜷
F649		𩜱
F64A		𩞧
F64B		𩜏
F64C		𰧆
F64D		𥕤
F64E		𥒖
F64F		｛⿰石己｝
F650		𥗫
F651		𥗴
F652		𬒙
F653		𬑻
F654		𥑇
F655		𥗝
F656		𥔘
F657		𩟧
F658		𰦜
F659		｛⿰矢彡｝
F65A		｛⿰矢𠃨｝
F65B		｛⿰豕馬｝
F65C		𧱁
F65D		𥘵
F65E		𥙿
F65F		𬒮
F660		𬒯
F661		𥙆
F662		𰨓
F663		｛⿰礻隹｝
F664		𪮤
F665		𢵣
F666		｛⿰扌附｝
F667		𭡪
F668		𢲞
F669		𭡐
F66A		｛⿰扌庑｝
F66B		｛⿰扌艳｝
F66C		｛⿰扌𫁹｝
F66D		𰔴
F66E		｛⿰殳夏｝
F66F		𪏶
F670		｛⿰黍魚｝
F671		𪕣
F672		𣀈
F673		｛⿰束戍｝
F674		𰛗
F675		｛⿰氵持｝
F676		𤁧
F677		𪷾
F678		｛⿰氵裹｝
F679		𣻳
F67A		𣱿
F67B		｛⿰氵俗｝
F67C		｛⿰氵武｝
F67D		｛⿰氵彧｝
F67E		𣸭
F67F		𰜃
F680		｛⿰氵⿱内巠｝
F681		｛⿰氵⿱厶卉｝
F682		｛⿰氵⿱罒丂｝
F683		｛⿰氵⿱隹皿｝
F684		｛⿰氵⿳亠厶皿｝
F685		｛⿰氵𫥎｝	𪶳
F686		𣽱
F687		𣾺
F688		｛⿰氵𢋨｝
F689		𰛐
F68A		｛⿰糹册｝	𥿑
F68B		𦅘
F68C		𦆭
F68D		𦂛
F68E		𰫝
F68F		𦆛
F690		｛⿰糹㇯熏灬｝
F691		｛⿰糹㕓｝
F692		𫦎
F693		𭮹
F694		｛⿰它攴｝
F695		𢼊
F696		｛⿰田八｝
F697		𤰿
F698		｛⿰田⿱公攵｝
F699		𡏮
F69A		𰉡
F69B		𡎆
F69C		｛⿰土爾｝
F69D		𱗙
F69E		鿍
F69F		𡐓
F6A0		鿾
F6A1		𡏺
F6A2		｛⿰土廬｝
F6A3		𪤧
F6A4		𡏏
F6A5		塚
F6A6		𡏂
F6A7		｛⿰豚又｝
F6A8		｛⿰妥个｝
F6A9		｛⿰王半｝
F6AA		𬍐
F6AB		𭹄
F6AC		𤨆
F6AD		𤨕
F6AE		𰢓
F6AF		𤣵
F6B0		𭹃
F6B1		𤩝
F6B2		𰡻
F6B3		｛⿰韋夷｝
F6B4		｛⿰午阝｝
F6B5		｛⿰下吕｝
F6B6		｛⿰夏戉｝
F6B7		｛⿰香尚｝
F6B8		𩡝
F6B9		｛⿰象乐｝
F6BA		𢠳
F6BB		𢗞
F6BC		𢛄
F6BD		｛⿰忄尭｝
F6BE		｛⿰需阝｝
F6BF		𧫻
F6C0		｛⿰言卞｝
F6C1		𧥣
F6C2		𧩕
F6C3		𬢭
F6C4		｛⿰羊各｝
F6C5		𦍩
F6C6		｛⿰羊土｝
F6C7		｛⿰羊戌｝
F6C8		𢆶
F6C9		𢻱
F6CA		｛⿰叶尼｝
F6CB		｛⿰頁⿱双子｝
F6CC		｛⿰頁戉｝
F6CD		｛⿰衤丙｝
F6CE		｛⿰衤蚕｝
F6CF		𧜡
F6D0		𧘤
F6D1		𧚨
F6D2		𧜞
F6D3		𧝠
F6D4		𧛼
F6D5		𧛊
F6D6		𧚘
F6D7		𧜽
F6D8		𧙟
F6D9		｛⿰衤隱｝
F6DA		𧚔
F6DB		𧝃
F6DC		𧙓
F6DD		𮖤
F6DE		｛⿰衤⿱𦭝氏｝
F6DF		｛⿰衤⿸厂千｝
F6E0		｛⿰义鳥｝
F6E1		𮟪
F6E2		｛⿰邑戉｝
F6E3		𫖘
F6E4		𩐛
F6E5		｛⿰尹次｝
F6E6		｛⿰尹肴｝
F6E7		𨞑
F6E8		𣭲
F6E9		𨠎
F6EA		𨢇
F6EB		｛⿰酉盧｝
F6EC		𫹉
F6ED		｛⿰酉乡｝
F6EE		𨠗
F6EF		｛⿰酉醫｝
F6F0		𬅞
F6F1		｛⿰魚𫶬｝
F6F2		𩹲
F6F3		｛⿰魚几｝
F6F4		𫙮
F6F5		𱇈
F6F6		｛⿰魚史｝	𫙓
F6F7		𩸃
F6F8		｛⿰魚允｝
F6F9		𩺬
F6FA		｛⿰魚⿱幺又｝
F6FB		｛⿰魚⿳爫网又｝
F6FC		𦚠
F6FD		𪱩
F6FE		𦞠
F6FF		𬁷
F700		𦝑
F701		｛⿰月允｝
F702		𦟌
F703		𦟥
F704		｛⿰月𫝤｝
F705		｛⿰月⿱𣱲巴｝
F706		｛⿰月𫷥｝
F707		𫑛
F708		｛⿰占支｝
F709		｛⿰𥝩刂｝
F70A		𩒨
F70B		｛⿰黹⿸虍处｝
F70C		𧳇
F70D		𧴅
F70E		｛⿰舟虫｝
F70F		𦨶
F710		｛⿰舟會｝
F711		｛⿰舟𠂢｝
F712		𣽨
F713		｛⿰帚又｝
F714		｛⿰屬阝｝
F715		𣃈
F716		𣶙
F717		𰄩
F718		｛⿰自殳｝
F719		𤭢
F71A		𤮐
F71B		𤞷
F71C		｛⿰𦣞斤｝
F71D		｛⿰𠂤束｝
F71E		𫡜
F71F		𰀡
F720		｛⿰𠧪又｝
F721		｛⿰镸米｝
F722		｛⿰亨上｝
F723		𱚢
F724		𤔲
F725		｛⿰𤔔羽｝
F726		｛⿰⿱业𫟈戈｝
F727		｛⿰⿱北冉甫｝
F728		｛⿰⿱⺊目少｝
F729		𩛥
F72A		｛⿰⿱才食凡｝
F72B		｛⿰⿱从⿸厂炎刂｝
F72C		𩓔
F72D		｛⿰⿱口𠕁力｝
F72E		𬱉
F72F		𩓿
F730		｛⿰⿱小乂又｝
F731		｛⿰⿱𠧪𠧪又｝
F732		｛⿰⿳⺊冖米攵｝
F733		𫿣
F734		｛⿰⿳士冖豕殳｝
F735		｛⿰⿳士冖⿱一糸令｝
F736		｛⿰⿱䙲㔾阝｝	𨝍
F737		｛⿰⿳𠄡乂一攵｝
F738		｛⿰⿸声方戍｝
F739		𨅞
F73A		｛⿰𧾷覺｝
F73B		𨂷
F73C		𨄮
F73D		｛⿰𧾷莫｝
F73E		｛⿰𧾷年｝
F73F		｛⿰安月｝
F740		𧰽
F741		𤉡
F742		𠢕
F743		｛⿱八龜｝
F744		｛⿱八虎｝
F745		𱆣
F746		𪽾
F747		𱆊
F748		𤐧
F749		𰺪
F74A		𩯅
F74B		｛⿱髟弓｝
F74C		𩭷
F74D		｛⿱髟文｝
F74E		𪛚
F74F		｛⿱⺊𠄎｝
F750		𦫳
F751		𦵴
F752		｛⿱艹抉｝
F753		｛⿱艹冦｝
F754		｛⿱艹暦｝
F755		｛⿱艹撩｝
F756		𰱮
F757		𦯠
F758		𪓔
F759		𦺝
F75A		𦲷
F75B		𬝵
F75C		｛⿱艹色｝
F75D		𦯬
F75E		｛⿱艹石｝
F75F		｛⿱艹貰｝
F760		｛⿱艹熟｝
F761		𦬸
F762		𦵘
F763		𦬊
F764		𦰏
F765		𦰚
F766		｛⿱艹諭｝
F767		𱽪
F768		𦱊
F769		𦭴
F76A		𦼥
F76B		｛⿱艹⿳亠ㅒ⿵冂𢆉｝
F76C		｛⿳艹⿴𦥑⿵冂𠃍冝｝	𧄸
F76D		｛⿱艹⿰阝辱｝
F76E		｛⿱艹𡎐｝
F76F		𮑮
F770		𬟒
F771		｛⿱艹䑬｝
F772		𦵉
F773		𮑪
F774		｛⿱艹⿸厂⿱一豕｝
F775		𰇑
F776		｛⿱長止｝
F777		𨋬
F778		｛⿳亠傌衣｝
F779		𩐎
F77A		𠧐
F77B		𡿷
F77C		｛⿱此力｝
F77D		𬁼
F77E		𡗦
F77F		𫯦
F780		𥿝
F781		｛⿱侢土｝
F782		｛⿱叨处｝
F783		｛⿱道米｝
F784		𥂴
F785		｛⿱荋木｝
F786		｛⿱棥疋｝
F787		｛⿱分怕｝
F788		𢪘
F789		𦐈
F78A		𦂌
F78B		｛⿱高羊｝
F78C		｛⿱告木｝
F78D		𢀛
F78E		𰇉
F78F		｛⿱巩言｝
F790		𥂧
F791		｛⿱鼓月｝
F792		𡧌
F793		｛⿱丨口｝
F794		｛⿱合䀠｝
F795		䥣
F796		𩝫
F797		𥁰
F798		𤰚
F799		｛⿱臼鬼｝
F79A		｛⿱臼酉｝
F79B		｛⿱殻麥｝
F79C		𪅏
F79D		｛⿱口𠀇｝
F79E		｛⿱口𣥖｝
F79F		｛⿱老丂｝
F7A0		｛⿱厽分｝
F7A1		｛⿱力口｝
F7A2		｛⿱立貝｝
F7A3		｛⿱利田｝
F7A4		𨨗
F7A5		｛⿱流下｝
F7A6		｛⿱龍異｝
F7A7		𪊓
F7A8		｛⿱米覃｝
F7A9		｛⿱冖見｝
F7AA		𱚒
F7AB		｛⿱宀鼔｝
F7AC		｛⿱宀攴｝
F7AD		｛⿱宀妊｝
F7AE		𫴆
F7AF		𫳐
F7B0		𫳅
F7B1		𡧀
F7B2		𡩘
F7B3		𡨦
F7B4		｛⿱宀⿰九殳｝
F7B5		｛⿱宀⿰尗丮｝
F7B6		｛⿱宀𨜶｝
F7B7		｛⿳宀品亏｝
F7B8		｛⿳宀爫⿱㠯又｝
F7B9		｛⿱𡨄占｝
F7BA		𫴥
F7BB		𤉲
F7BC		𰥏
F7BD		𪽖
F7BE		𧵒
F7BF		｛⿱爿由｝
F7C0		｛⿱彭巤｝
F7C1		｛⿱甶丌｝
F7C2		𰃦
F7C3		｛⿱丿來｝
F7C4		｛⿱丿束｝
F7C5		𠆥
F7C6		𬐢
F7C7		𣘼
F7C8		｛⿱啟山｝
F7C9		｛⿱人斗｝
F7CA		｛⿱壬皿｝
F7CB		｛⿱容衣｝
F7CC		𡺵
F7CD		𡷈
F7CE		𡺞
F7CF		｛⿱上体｝
F7D0		𤉎
F7D1		𥃭
F7D2		｛⿱十罒｝
F7D3		𠯑
F7D4		｛⿱双土｝
F7D5		𱺺
F7D6		｛⿱罒廾｝
F7D7		｛⿱罒火｝
F7D8		𦌵
F7D9		｛⿱罒執｝
F7DA		𦋯
F7DB		𡗶
F7DC		𬻊
F7DD		𭑆
F7DE		𱻽
F7DF		｛⿱廷旦｝
F7E0		｛⿱仝心｝
F7E1		｛⿱亠么｝
F7E2		｛⿱兔丂｝
F7E3		｛⿱吞下｝
F7E4		コ
F7E5		｛⿱无土｝
F7E6		｛⿱敄牛｝
F7E7		｛𬑁｝
F7E8		｛⿱亯京｝
F7E9		𡭽
F7EA		𫩻
F7EB		𬏄
F7EC		𰅱
F7ED		𬢧
F7EE		｛⿱穴淮｝
F7EF		𬔅
F7F0		｛⿱穴灭｝
F7F1		𰩏
F7F2		｛⿱穴𣳬｝
F7F3		𠣬
F7F4		｛⿱言大｝
F7F5		｛⿱焱水｝
F7F6		𥂸
F7F7		𰏯
F7F8		｛⿱幺亅｝	𢆯
F7F9		𠀡
F7FA		｛⿱一𫂱｝
F7FB		𣫥
F7FC		｛⿱友甘｝
F7FD		𪾏
F7FE		𭆩
F7FF		｛⿱余予｝
F800		𣥳
F801		𫕢
F802		｛⿱雨舞｝
F803		𩁹
F804		｛⿱雨⿱丿朿｝
F805		｛⿱元龜｝
F806		｛⿱日内｝
F807		｛⿱日奄｝
F808		𭶯
F809		𪺕
F80A		𢜔
F80B		𬛶
F80C		｛⿱执木｝
F80D		｛⿱直皕｝
F80E		𡌴
F80F		｛⿱夂囚｝
F810		｛⿱夂𢆉｝
F811		｛⿱止京｝
F812		𣏔
F813		𰙡
F814		𣥼
F815		𬛳
F816		｛⿱中口｝
F817		｛⿱中田｝
F818		｛⿱子大｝
F819		｛⿱自魚｝
F81A		𱁇
F81B		𦊨
F81C		𥻆
F81D		｛⿱𠕁双｝
F81E		｛⿳癶𠮛开｝
F81F		｛⿳一ㅒ鬲｝
F820		｛⿱⿳⺈𦉪比京｝
F821		｛⿱𦰩火｝
F822		｛⿱受⿰又虎｝	𬋴
F823		𰯼
F824		｛⿱聿乂｝	𬚪
F825		𩏴
F826		𠵤
F827		𬒈
F828		｛⿱⿰臣⿱𠂉丶酉｝	𨢒
F829		｛⿱⿰刍己灬｝
F82A		｛⿱⿰大七⿺𠃊五｝
F82B		｛⿱⿰缶系鼎｝
F82C		｛⿱⿰戈子日｝
F82D		𰣘
F82E		𡠧
F82F		｛⿱𢧵金｝
F830		𠭰
F831		｛⿸𠩺力｝
F832		𢇂
F833		｛⿳𣥖𠮛廾｝
F834		｛⿱⿰中匕⿹勹一｝
F835		｛⿱⿰𠂤⿱人夕每｝
F836		｛⿱⿰⿰丨三帚皿｝
F837		｛⿱㇯㇯率亠十儿｝
F838		｛⿱⿲耳𠔼耳舌｝
F839		｛⿱⿴二〇虫｝
F83A		｛⿱⿳⺈罓比丂｝
F83B		｛⿱⿳⺈囚比火｝
F83C		｛⿱𭯍丂｝
F83D		｛⿱𭯍泉｝
F83E		𣓨
F83F		｛⿱⿴𦥑冉皿｝
F840		｛⿱⿵冂丨目｝
F841		｛⿱⿶凵攴匕｝
F842		𥄉
F843		｛⿱𥫗达｝
F844		𥴊
F845		｛⿱𥫗宫｝
F846		𥶙
F847		｛⿰火⿱𠀇勿｝
F848		𬖄
F849		𥷨
F84A		𥫭
F84B		𮆮
F84C		｛⿱𥫗頗｝
F84D		｛⿱𥫗匍｝
F84E		｛⿱𥫗綦｝
F84F		笵
F850		𥴦
F851		｛⿱𥫗蜒｝
F852		𥮒
F853		𬕝
F854		｛⿱𥫗䫏｝
F855		𥶶
F856		｛⿱𥫗𠤳｝
F857		｛⿱𥫗䢘｝
F858		𦊅
F859		𮍨
F85A		𣭮
F85B		𥁠
F85C		𰳬
F85D		𧗵
F85E		｛㇯㇯𠂼匚コ｝
F85F		𧤳
F860		｛⿰金𰚆｝
F861		｛⿰金𪿙｝
F862		｛⿲丩幸又｝
F863		｛⿲立犬馬｝
F864		𩉇
F865		𦧵
F866		𪷁
F867		｛⿰𬡕朵｝
F868		｛⿰月𥘎｝
F869		｛⿲丩了又｝
F86A		𰅵
F86B		｛⿳匕凶厶｝
F86C		｛⿱𫇦登｝
F86D		𰌀
F86E		𰱈
F86F		｛⿱𫇦兀｝
F870		｛⿱𫇦小｝
F871		｛⿱艹𡧳｝
F872		｛⿱𦫸大｝
F873		｛⿱艹𲇖｝
F874		｛⿳艹⿳亠丷⿱冖力廾｝
F875		｛⿳𦫸方廾｝	𬝧
F876		｛⿱㞢魚｝
F877		｛⿳丨日丨｝
F878		｛⿱𠮦䒑｝
F879		｛⿱丷𦉶｝
F87A		｛⿳臼冉皿｝
F87B		｛⿳臼冉土｝
F87C		𥢺
F87D		｛⿳皿此双｝
F87E		𫤘
F87F		｛⿳八酉皿｝
F880		｛⿳日𠀃八｝
F881		｛⿳山大巳｝
F882		𡵂
F883		｛⿳十冖㿝｝
F884		𡔹
F885		｛⿳士冖㿝｝
F886		｛⿱田㳟｝
F887		𫪮
F888		｛⿳亠厽月｝
F889		𫎣
F88A		𰇂
F88B		𧱌
F88C		𭆲
F88D		｛⿳爫⿵冂⿲⺀丨⺀又｝
F88E		𧮲
F88F		｛⿳⿲二〢二子兴｝
F890		𥃝
F891		｛⿳⺈冈比｝
F892		𤊱
F893		𥲅
F894		𡆥
F895		𡇖
F896		｛⿴囗丰｝
F897		｛⿴囗复｝
F898		｛⿴囗牛｝
F899		｛⿴囗羌｝
F89A		｛⿴囗⿻二川｝
F89B		｛⿴囗𰀁｝
F89C		｛⿴衣辟｝
F89D		｛⿴衣鬲｝
F89E		𬮉
F89F		𨷲
F8A0		𪗉
F8A1		｛⿳人丷⿵冂丨｝	𢁰
F8A2		𫅎
F8A3		𰅤
F8A4		｛⿷匚金｝
F8A5		｛⿷匚十｝
F8A6		𠩲
F8A7		𠫑
F8A8		𠪚
F8A9		𪠘
F8AA		｛⿸厂朗｝
F8AB		｛⿸厂吾｝
F8AC		𫷵
F8AD		𢉼
F8AE		𢈦
F8AF		𢇻
F8B0		｛⿸广興｝
F8B1		𫷮
F8B2		｛⿸广⿰邑隹｝
F8B3		𢊬
F8B4		｛⿸广⿱⿰彳⿱亠龶鳥｝
F8B5		𧆾
F8B6		𫊣
F8B7		｛⿸户禾｝
F8B8		｛⿸户⿱口冋｝
F8B9		𠬝
F8BA		𦒶
F8BB		𦒻
F8BC		𤼚
F8BD		｛⿸疒并｝
F8BE		𤷡
F8BF		𤵸
F8C0		｛⿸疒豕｝
F8C1		𤼈
F8C2		｛⿸疒𤳦｝
F8C3		｛⿸疒⿱龷月｝
F8C4		𱚳
F8C5		｛⿸虍也｝
F8C6		｛⿸𠂆虚｝
F8C7		｛⿹勹丿｝
F8C8		𠣭
F8C9		𰒦
F8CA		｛⿹戈圭｝
F8CB		｛⿹戈⿱口土｝
F8CC		𪭑
F8CD		｛⿹弋示｝
F8CE		𩴆
F8CF		｛⿹⿽戈幺韭｝
F8D0		𢧜
F8D1		𬰫
F8D2		𧧬
F8D3		｛⿹𢦏爻｝
F8D4		｛⿹𢦏𠂤｝
F8D5		𢧑
F8D6		｛⿺巴彡｝
F8D7		｛⿺辶戈｝
F8D8		𬩣
F8D9		𨒬
F8DA		𬩈
F8DB		｛⿺辶𣈅｝
F8DC		𮟑
F8DD		𨖹
F8DE		｛⿺辶⿳宀口田｝
F8DF		｛⿺辶㔽｝
F8E0		｛⿺道人｝
F8E1		｛⿺風旦｝
F8E2		｛⿺更不｝
F8E3		｛⿺鬼包｝
F8E4		𩴄
F8E5		｛⿺鬼惡｝
F8E6		｛⿺鬼風｝
F8E7		｛⿺鬼旱｝
F8E8		𩴗
F8E9		｛⿺虎匕｝	𰲘
F8EA		｛⿺見乂｝
F8EB		𧈤
F8EC		𤰙
F8ED		｛⿺克永｝
F8EE		｛⿺克走｝
F8EF		｛⿰麥谷｝
F8F0		｛⿰麥頁｝
F8F1		｛⿰麥𫎇｝	䵆
F8F2		𰰛
F8F3		｛⿰鼠虎｝
F8F4		｛⿺尣壬｝
F8F5		｛⿺先古｝
F8F6		｛⿺乙个｝
F8F7		𰃏
F8F8		𤔅
F8F9		｛⿺走拜｝
F8FA		𧾱
F8FB		𧽊
F8FC		𧺷
F8FD		｛⿺走戍｝
F8FE		𧾰
F8FF		𮚾
